download_date,query_source,repo,repo_url,stars,description,file_path,file_size,heuristic_score,ai_is_architecture,ai_confidence,ai_description,ai_diagram_type,github_url,raw_url,downloaded_path,included_after_manual_check,exclusion_reason
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/dspy/dspy-integration-architecture.png,372954,14,True,98,"A hand-drawn system architecture diagram showing the DSPy optimizer loop, MLflow tracking/evaluation, and deployment of an optimized DSPy program with data flow from training data through optimization to API serving.",system architecture,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/dspy/dspy-integration-architecture.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/dspy/dspy-integration-architecture.png,/Workspace/Users/zhaohan.gao@versuni.com/Repository Mining/download/mlflow_mlflow/docs_static_images_llms_dspy_dspy-integration-architecture.png,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/tracing/schema/feedback_architecture.png,39720,14,True,86,"A conceptual system diagram showing a trace feeding into quality check, user feedback, and LLM judge evaluations, with metadata like spans, timestamp, tags, and feedbacks leading to outcomes such as hallucination, user satisfied, and toxicity pass/fail labels.",data flow,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/tracing/schema/feedback_architecture.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/tracing/schema/feedback_architecture.png,/Workspace/Users/zhaohan.gao@versuni.com/Repository Mining/download/mlflow_mlflow/docs_static_images_llms_tracing_schema_feedback_architecture.png,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/tracing/schema/span_architecture.png,121413,14,True,96,"A system flow diagram showing an agent execution path with LLM calls, tool handling, a retriever tool, and a Qdrant vector store query, annotated with arrows explaining the sequence.",data flow,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/tracing/schema/span_architecture.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/tracing/schema/span_architecture.png,/Workspace/Users/zhaohan.gao@versuni.com/Repository Mining/download/mlflow_mlflow/docs_static_images_llms_tracing_schema_span_architecture.png,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/tracing/schema/trace_architecture.png,87104,14,True,86,"A simple system diagram showing trace information and trace data, with fields like experiment_id, duration, status, tags, and multiple spans connected by arrows.",component,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/tracing/schema/trace_architecture.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/tracing/schema/trace_architecture.png,/Workspace/Users/zhaohan.gao@versuni.com/Repository Mining/download/mlflow_mlflow/docs_static_images_llms_tracing_schema_trace_architecture.png,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/deployment/mlflow-deployment-overview.png,1077158,11,True,98,"A machine learning deployment architecture showing a dev environment with MLflow tracking and model registry, model deployment via Docker/MLflow, and production/local inference targets including Databricks Model Serving, Kubernetes, SageMaker, Modal, Azure Machine Learning, and Flask batch prediction.",system architecture,https://github.com/mlflow/mlflow/blob/master/docs/static/images/deployment/mlflow-deployment-overview.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/deployment/mlflow-deployment-overview.png,/Workspace/Users/zhaohan.gao@versuni.com/Repository Mining/download/mlflow_mlflow/docs_static_images_deployment_mlflow-deployment-overview.png,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/llama-index/llama_index_workflow_artifacts.png,367786,10,False,98,"A screenshot of the MLflow web UI showing an experiment's artifact files and model metadata, with red annotation text explaining files like MLmodel, react_agent.py, requirements.txt, and settings.json.",none,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/llama-index/llama_index_workflow_artifacts.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/llama-index/llama_index_workflow_artifacts.png,,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/llama-index/llama_index_workflow_graph.png,73480,10,True,92,"A workflow/state diagram showing an LLM application pipeline with events and handlers such as StartEvent, PrepEvent, LLMInputEvent, LLMOutputEvent, ToolCallEvent, and functions like prepare_llm_prompt, invoke_llm, handle_llm_response, and handle_tool_calls connected by directional arrows.",pipeline,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/llama-index/llama_index_workflow_graph.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/llama-index/llama_index_workflow_graph.png,/Workspace/Users/zhaohan.gao@versuni.com/Repository Mining/download/mlflow_mlflow/docs_static_images_llms_llama-index_llama_index_workflow_graph.png,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/llama-index/llama_index_workflow_trace.png,131043,10,False,98,"A screenshot of the MLflow UI showing a workflow run trace with task steps, inputs, and outputs for an agent workflow.",none,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/llama-index/llama_index_workflow_trace.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/llama-index/llama_index_workflow_trace.png,,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/prompt-registry/prompt-logged-model-links.png,307554,10,False,99,A screenshot of the MLflow web UI showing a prompt named 'summarization-prompt' with version details and prompt text.,none,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/prompt-registry/prompt-logged-model-links.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/prompt-registry/prompt-logged-model-links.png,,,
2026-05-17,seed,mlflow/mlflow,https://github.com/mlflow/mlflow,25976,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",docs/static/images/llms/prompt-registry/prompt-logged-model.png,41047,10,False,98,"A screenshot of an ML experiment/model tracking UI showing a 'summarizer-model' overview with tabs like model metrics, system metrics, traces, and artifacts, plus fields for source, logged models, and registered prompts.",none,https://github.com/mlflow/mlflow/blob/master/docs/static/images/llms/prompt-registry/prompt-logged-model.png,https://raw.githubusercontent.com/mlflow/mlflow/master/docs/static/images/llms/prompt-registry/prompt-logged-model.png,,,
